Product Name,Parents Release_Final,Design Element_Rel Num,Release Type,Milestone,Roadmap_MonthYear,YearMonth_number,Date_Roadmap,Roadmap_Year,ReleaseType_Milestone,Release Type_Short,Status
Product A,Product A 22,22.5,Update Release,C1,Jan-2022,12022,27-01-2022 00:00,2022,UR C1,UR,Approved
Product A,Product A 22,22,Main Release,C9,Feb-2024,22024,28-02-2024 00:00,2024,MR C9,MR,Forecast
Product A,Product A 22,22.5,Update Release,C3,Apr-2022,42022,07-04-2022 00:00,2022,UR C3,UR,Approved
Product A,Product A 22,22.5,Update Release,C5,May-2022,52022,31-05-2022 00:00,2022,UR C5,UR,Forecast
Product A,Product A 22,22.8,Feature Package,C3,Jul-2022,72022,14-07-2022 00:00,2022,FP C3,FP,Forecast
Product A,Product A 22,22,Main Release,C10,Aug-2024,82024,31-08-2024 00:00,2024,MR C10,MR,Forecast
Product A,Product A 22,22.8,Feature Package,C5,Sep-2022,92022,02-09-2022 00:00,2022,FP C5,FP,Forecast
Product A,Product A 22,22.8 SP2212,Service Package (Roadmapped),C3,Nov-2022,112022,17-11-2022 00:00,2022,SP C3,SP,Approved
Product A,Product A 22,22,Main Release,C7,Nov-2022,112022,30-11-2022 00:00,2022,MR C7,MR,Forecast
Product A,Product A 22,22,Main Release,C8,Nov-2023,112023,30-11-2023 00:00,2023,MR C8,MR,Approved
Product A,Product A 22,22.8 SP2212,Service Package (Roadmapped),C5,Dec-2022,122022,16-12-2022 00:00,2022,SP C5,SP,Forecast
Product A,Product A 23,23.2,Feature Package,C3,Jan-2023,12023,17-01-2023 00:00,2023,FP C3,FP,Approved
Product A,Product A 23,23.2,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Forecast
Product A,Product A 23,23,Main Release,C1,Sep-2022,92022,23-09-2022 00:00,2022,MR C1,MR,Forecast
Product A,Product A 23,23,Main Release,C3,Oct-2022,102022,13-10-2022 00:00,2022,MR C3,MR,Forecast
Product A,Product A 23,23,Main Release,C5,Nov-2022,112022,30-11-2022 00:00,2022,MR C5,MR,Approved
Product B,Product B 22,22.5,Update Release,C2,Jan-2022,12022,25-01-2022 00:00,2022,UR C2,UR,Approved
Product B,Product B 22,22.5,Update Release,C3,Mar-2022,32022,08-03-2022 00:00,2022,UR C3,UR,Approved
Product B,Product B 22,22.8,Update Release,C3,Apr-2022,42022,15-04-2022 00:00,2022,UR C3,UR,Approved
Product B,Product B 22,22.5,Update Release,C5,May-2022,52022,20-05-2022 00:00,2022,UR C5,UR,Forecast
Product B,Product B 22,22.5,Update Release,CP,May-2022,52022,20-05-2022 00:00,2022,UR CP,UR,Forecast
Product B,Product B 22,22.8,Update Release,C5,Aug-2022,82022,26-08-2022 00:00,2022,UR C5,UR,Approved
Product B,Product B 23,23.2,Feature Package,CT,Jan-2023,12023,20-01-2023 00:00,2023,FP CT,FP,Forecast
Product B,Product B 23,23.2,Feature Package,C5,Feb-2023,22023,24-02-2023 00:00,2023,FP C5,FP,Forecast
Product B,Product B 23,23,Main Release,C3,Jul-2022,72022,08-07-2022 00:00,2022,MR C3,MR,Forecast
Product B,Product B 23,23.2,Feature Package,C3,Oct-2022,102022,21-10-2022 00:00,2022,FP C3,FP,Approved
Product B,Product B 23,23,Main Release,CT,Oct-2022,102022,28-10-2022 00:00,2022,MR CT,MR,Forecast
Product B,Product B 23,23,Main Release,C5,Nov-2022,112022,18-11-2022 00:00,2022,MR C5,MR,Forecast
Product C,Product C FP2,FP2,Feature Package,C3,Jan-2022,12022,26-01-2022 00:00,2022,FP C3,FP,Forecast
Product C,Product C FP2,FP2,Feature Package,CCD,Feb-2022,22022,17-02-2022 00:00,2022,FP CCD,FP,Approved
Product C,Product C FP2,FP2,Feature Package,CP,Mar-2022,32022,08-03-2022 00:00,2022,FP CP,FP,Approved
Product C,Product C FP2,FP2,Feature Package,C5,Apr-2022,42022,29-04-2022 00:00,2022,FP C5,FP,Forecast
Product C,Product C FP3,FP3,Feature Package,C3,Jun-2022,62022,23-06-2022 00:00,2022,FP C3,FP,Approved
Product C,Product C FP3,FP3,Feature Package,C5,Aug-2022,82022,04-08-2022 00:00,2022,FP C5,FP,Approved
Product C,Product C FP4,FP4,Feature Package,C3,Feb-2023,22023,14-02-2023 00:00,2023,FP C3,FP,Forecast
Product C,Product C FP4,FP4,Feature Package,C5,Mar-2023,32023,17-03-2023 00:00,2023,FP C5,FP,Forecast
